,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,ZWHQCk3mR8koTPLplhR_Cx3krBvpGFFGOCLlndlYnQo,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","NASDAQ, S&P End 5-Day Winning Streaks",Jim Giaquinto,2020-07-08T13:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25907,"['MSFT', 'GPC', 'SNBR', 'STZ', 'BBBY', 'SOI', 'THO', 'SQQQ', 'UNFI', 'IAC', 'RHP', 'LVS', 'HTHT', 'RDS.A', 'AYX', 'MPC', 'NEO', 'STNE', 'TJX', 'TWTR', 'XYL', 'BLUE', 'CRSP', 'SGMO', 'NTLA', 'ACAD', 'ALNY', 'EDIT']","NASDAQ, S&P End 5-Day Winning Streaks",,,
1,OIMT4-HWyljXdh8bIL6h518JP3IvcBQy7T-wUKXn6l4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Stocks Slide as Tech Stalls Again,Jim Giaquinto,2020-07-29T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26138,"['BGS', 'NTGR', 'TPB', 'CSPR', 'STKL', 'LVS', 'INCY', 'NEO', 'MIME', 'MPC', 'NVCR', 'MTCH', 'RUN', 'TJX', 'VFC', 'XYL', 'YNDX', 'GOOG', 'AMZN', 'AAPL', 'PFE', 'MMM', 'MCD', 'AMD']",Stocks Slide as Tech Stalls Again,,,
2,2DyNFnywF1QeWzXLgqy7Gsa2Rq8rG4fhaJY15AZ48x4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Stocks Slip from Highs in Groggy Start to Week,Jim Giaquinto,2021-04-20T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29071,"['SNA', 'AYI', 'CBSH', 'JBL', 'XOM', 'VLO', 'UNFI', 'ANF', 'CNHI', 'MPC', 'TOL', 'JPM', 'GS', 'KO', 'IBM', 'NFLX', 'JNJ', 'PG', 'ABT']",Stocks Slip from Highs in Groggy Start to Week,,,
3,lH31bttMYTh6xz6WLKfSqr0MkB0cqIq8W3Xy6SPJdpQ,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",Energy Transfer: Insight From Enable Midstream Disclosures,Michael Boyd,2021-04-21T15:00:00Z,https://seekingalpha.com/article/4420263-insight-on-energy-transfer-from-enable-midstream-disclosures?source=feed,"['BX', 'CNP', 'D', 'DCUE', 'DRUA', 'ENBL', 'EQT', 'ETRN', 'MPC', 'MPLX', 'OAS', 'OGE', 'OXY', 'WES', 'ET']",Energy Transfer (ET) rarely shares details on its longer-term outlook beyond one year. Investors got some insight into 2022 & 2023 potential numbers via Enable Midstream (ENBL) disclosures.,https://seekingalpha.com/amp/article/4420263-insight-on-energy-transfer-from-enable-midstream-disclosures,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1208927668/medium_image_1208927668.jpg,
4,IEF244aIdnnRMWhkQ-mpCt_eoFWHebQQDrWZHdHYF1A,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Record Closes for NASDAQ, S&P to Begin Big Tech Week",Jim Giaquinto,2021-04-27T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-29157,"['PRFT', 'SNA', 'ENPH', 'MPC', 'DOW', 'DB', 'QRVO', 'CHWY', 'UPLD', 'UFS', 'THC', 'X', 'SBSW', 'JEF', 'OLN', 'CLFD', 'AXSM', 'NTLA', 'QURE', 'TSLA', 'GOOG', 'MSFT', 'UPS', 'SBUX', 'AAPL', 'FB', 'AMZN', 'V', 'LLY', 'TXN']","Record Closes for NASDAQ, S&P to Begin Big Tech Week",,,
5,IV4PXBBMYVATeiLBV_iczm12JArKJ4Nx66ibdf2wyZ0,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Is a Beat Likely for Chevron (CVX) This Earnings Season?,Zacks Equity Research,2021-04-27T15:31:00Z,http://www.zacks.com/stock/news/1462459/is-a-beat-likely-for-chevron-cvx-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1462459,"['NS', 'CVX', 'COG', 'MPC']",Chevron's (CVX) cost-control moves are steadily impressive and are expected to have boosted its Q1 earnings and cash flows.,https://www.zacks.com/amp/stock/news/1462459/is-a-beat-likely-for-chevron-cvx-this-earnings-season,https://staticx-tuner.zacks.com/images/articles/main/73/63.jpg,
6,ffIfn39yB0KOxrDf8qPNS-wEFua4Tbm_WY7zGiDNJu4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",What's in the Cards for Diamondback (FANG) in Q1 Earnings?,Zacks Equity Research,2021-04-28T16:56:00Z,http://www.zacks.com/stock/news/1468604/whats-in-the-cards-for-diamondback-fang-in-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1468604,"['NS', 'CVX', 'MPC', 'FANG']",Quarterly increase in output and average price realization of crude oil are likely to boost Diamondback's (FANG) Q1 results.,https://www.zacks.com/amp/stock/news/1468604/whats-in-the-cards-for-diamondback-fang-in-q1-earnings,https://staticx-tuner.zacks.com/images/articles/main/2d/651.jpg,
7,MPCQH5MFClXkkfXq-kDb8hHQWvftDWw7PNXMvgaYkFg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Is a Beat Likely for Marathon (MPC) This Earnings Season?,Zacks Equity Research,2021-04-29T18:47:00Z,http://www.zacks.com/stock/news/1474646/is-a-beat-likely-for-marathon-mpc-this-earnings-season?cid=CS-ZC-FT-analyst_blog|earnings_preview-1474646,"['NS', 'CVX', 'MPLX', 'MPC']","Marathon Petroleum's (MPC) midstream unit is likely to have benefited from stable, fee-based revenues, contained operating expenses and a contribution from organic growth projects in Q1.",https://www.zacks.com/amp/stock/news/1474646/is-a-beat-likely-for-marathon-mpc-this-earnings-season,https://staticx-tuner.zacks.com/images/articles/main/c1/192.jpg,
8,dWDUotlO9doEndxW1eNf2xqGC-Pxp7TcuLOn47GNggs,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}",Kiplinger And Barron's 75 Top Stocks For 2021 Show 17 As May Flies,Fredrik Arnold,2021-05-04T07:37:15Z,https://seekingalpha.com/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies?source=feed,"['ABBV', 'ARCC', 'BKR', 'CFG', 'CVX', 'DSL', 'DVN', 'DX', 'EIX', 'EPD', 'FOF', 'GLAD', 'LTC', 'LYB', 'MAIN', 'MPC', 'NI', 'OKE', 'PBC', 'PSEC', 'PSX', 'STAG', 'T', 'TBB', 'TBC', 'TEAF', 'VLO', 'WMB']","October-December Kiplinger Today published four articles: 11 Best Monthly Dividend[s], 21 Best Stocks, 11 Dividend Growth Stocks, and 25 Dividend Stocks Analysts Love.",https://seekingalpha.com/amp/article/4423926-kiplinger-barrons-75-top-stocks-for-2021-show-17-may-flies,https://static.seekingalpha.com/uploads/2021/5/4/748328-1620101896195558_origin.png,
9,lwq5U5MtofHwqJGUrdATWZzQwrv23QQ7eG8PpvRN2Ds,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/benzinga.ico'}","Earnings Scheduled For May 4, 2021",Benzinga Insights,2021-05-04T08:21:32Z,https://www.benzinga.com/news/earnings/21/05/20930648/earnings-scheduled-for-may-4-2021,"['SITM', 'LUNG', 'RDN', 'TSLX', 'MANT', 'WTS', 'PEN', 'WEYS', 'MTCH', 'STLC', 'RRR', 'WLKP', 'MPWR', 'WU', 'ZG', 'XLNX', 'RHP', 'OSPN', 'RVI', 'TBPH', 'MRCY', 'VRSK', 'RACE', 'ZBRA', 'USAC', 'MGY', 'SEE', 'SAGE', 'NXST', 'WSR', 'LYFT', 'MCY', 'MRCC', 'RTLR', 'SYX', 'TREC', 'PKOH', 'PCRX', 'SPT', 'MED', 'TMUS', 'UPWK', 'SYY', 'RYAM', 'POWL', 'MTOR', 'XP', 'MIC', 'MLM', 'MPLX', 'SILK', 'TRI', 'STIM', 'PXLW', 'MPC', 'SND', 'NR', 'PTCT', 'TMDX', 'TTI', 'OUT', 'RCKY', 'QUAD', 'UAA', 'NS', 'RNG', 'RMRM', 'UA', 'WK', 'RGEN', 'Z', 'PVAC', 'PAA', 'PINC', 'MCFE', 'UTL', 'PUMP', 'SGMO', 'STAG', 'VERI', 'VREX', 'PFE', 'PAGP', 'SKLZ', 'VMC', 'NVTA', 'SMCI', 'XYL', 'NEX', 'PKI', 'NMIH', 'VSH', 'VIRT', 'SPNS', 'PEAK', 'RCM', 'PRO', 'RARE', 'VVI', 'NSA', 'SYKE', 'PERI', 'MEC', 'PRU', 'MBUU', 'WLK', 'MCRB', 'TISI', 'TRTX', 'WTTR', 'PVG', 'SABR', 'WMG', 'ZBH', 'TTEC', 'RM', 'WOW', 'PXD', 'PAYC', 'WTI', 'VIAV', 'VECO', 'RPAI']","Companies Reporting Before The Bell
• Lancaster Colony (NASDAQ:LANC) is likely to report quarterly earnings at $1.24 per share on revenue of $340.02 million.
• USA Compression Partners (NYSE:USAC) is projected to report quarterly loss at $0.11 per share on revenue of $159.85 million.
• KKR & Co (NYSE:KKR) is projected to report quarterly earnings at $0.63 per share on revenue of $1.20 billion.
• Xylem (NYSE:XYL) is expected to report quarterly earnings at $0.38 per share on revenue of $1.17 billion.
• Pfizer (NYSE:PFE) is likely to report quarterly earnings at $0.78 per share on revenue of $13.60 billion.
• Intelligent Systems (AMEX:INS) is likely to report quarterly earnings at $0.11 per share on revenue of $8.26 million.
• Great Lakes Dredge & Dock (NASDAQ:GLDD) is estimated to report quarterly earnings at $0.21 per share on revenue of $186.40 million.
• Incyte (NASDAQ:INCY) is projected to report quarterly earnings at $0.64 per share on revenue of $659.24 million.
• Kopin (NASDAQ:KOPN) is estimated to report quarterly loss at $0.02 per share on revenue of $11.45 million.
• Easterly Government Props (NYSE:DEA) is expected to report quarterly earnings at $0.07 per share on revenue of $66.70 million.
• Westlake Chemical (NYSE:WLKP) is likely to report quarterly earnings at $0.52 per share on revenue of $295.78 million.
• Repligen (NASDAQ:RGEN) is likely to report quarterly earnings at $0.42 per share on revenue of $117.01 million.
• Cheniere Energy (AMEX:LNG) is projected to report quarterly earnings at $0.88 per share on revenue of $2.85 billion.
• Lantheus Holdings (NASDAQ:LNTH) is estimated to report quarterly loss at $0.01 per share on revenue of $87.24 million.
• Glatfelter (NYSE:GLT) is expected to report quarterly earnings at $0.18 per share on revenue of $224.00 million.
• Armada Hoffler Properties (NYSE:AHH) is likely to report quarterly earnings at $0.09 per share on revenue of $44.10 million.
• Unitil (NYSE:UTL) is estimated to report quarterly earnings at $1.16 per share on revenue of $145.93 million.
• IPG Photonics (NASDAQ:IPGP) is expected to report quarterly earnings at $1.09 per share on revenue of $327.64 million.
• Harsco (NYSE:HSC) is projected to report quarterly earnings at $0.04 per share on revenue of $514.94 million.
• Ares Commercial Real (NYSE:ACRE) is expected to report quarterly earnings at $0.37 per share on revenue of $18.11 million.
• Beasley Broadcast Group (NASDAQ:BBGI) is expected to report quarterly loss at $0.20 per share on revenue of $49.00 million.
• Vishay Intertechnology (NYSE:VSH) is estimated to report quarterly earnings at $0.44 per share on revenue of $753.42 million.
• Frank's International (NYSE:FI) is likely to report quarterly loss at $0.05 per share on revenue of $96.02 million.
• Zimmer Biomet Holdings (NYSE:ZBH) is expected to report quarterly earnings at $1.53 per share on revenue of $1.76 billion.
• Lamar Advertising (NASDAQ:LAMR) is projected to report quarterly earnings at $0.36 per share on revenue of $362.25 million.
• Vulcan Materials (NYSE:VMC) is estimated to report quarterly earnings at $0.45 per share on revenue of $1.02 billion.
• Ryman Hospitality Props (NYSE:RHP) is expected to report quarterly loss at $1.60 per share on revenue of $120.35 million.
• Gartner (NYSE:IT) is estimated to report quarterly earnings at $1.05 per share on revenue of $1.05 billion.
• Tetra Technologies (NYSE:TTI) is likely to report quarterly loss at $0.03 per share on revenue of $76.95 million.
• Premier (NASDAQ:PINC) is expected to report quarterly earnings at $0.55 per share on revenue of $447.55 million.
• Nexstar Media Group (NASDAQ:NXST) is likely to report quarterly earnings at $3.48 per share on revenue of $1.08 billion.
• Global Payments (NYSE:GPN) is likely to report quarterly earnings at $1.78 per share on revenue of $1.77 billion.
• Thomson Reuters (NYSE:TRI) is expected to report quarterly earnings at $0.65 per share on revenue of $2.92 billion.
• Bausch Health Companies (NYSE:BHC) is expected to report earnings for its first quarter.
• Colliers Intl Gr (NASDAQ:CIGI) is projected to report earnings for its first quarter.
• Arconic (NYSE:ARNC) is expected to report quarterly earnings at $0.27 per share on revenue of $1.53 billion.
• Warner Music Group (NASDAQ:WMG) is expected to report quarterly earnings at $0.15 per share on revenue of $1.18 billion.
• Sapiens Intl Corp (NASDAQ:SPNS) is likely to report quarterly earnings at $0.27 per share on revenue of $109.39 million.
• Equitrans Midstream (NYSE:ETRN) is expected to report quarterly earnings at $0.22 per share on revenue of $378.77 million.
• Pacira BioSciences (NASDAQ:PCRX) is estimated to report quarterly earnings at $0.63 per share on revenue of $119.28 million.
• Sage Therapeutics (NASDAQ:SAGE) is projected to report quarterly loss at $1.91 per share on revenue of $2.00 million.
• Exterran (NYSE:EXTN) is projected to report quarterly loss at $0.76 per share on revenue of $142.40 million.
• Seres Therapeutics (NASDAQ:MCRB) is expected to report quarterly loss at $0.31 per share on revenue of $6.45 million.
• Independence Contract (NYSE:ICD) is expected to report quarterly loss at $2.74 per share on revenue of $19.00 million.
• Malibu Boats (NASDAQ:MBUU) is estimated to report quarterly earnings at $1.65 per share on revenue of $255.01 million.
• Perion Network (NASDAQ:PERI) is likely to report quarterly earnings at $0.02 per share on revenue of $86.18 million.
• Jounce Therapeutics (NASDAQ:JNCE) is estimated to report quarterly loss at $0.41 per share on revenue of $11.81 million.
• IAA (NYSE:IAA) is expected to report quarterly earnings at $0.47 per share on revenue of $394.11 million.
• Holly Energy Partners (NYSE:HEP) is likely to report quarterly earnings at $0.45 per share on revenue of $123.38 million.
• GCP Applied Technologies (NYSE:GCP) is expected to report quarterly earnings at $0.07 per share on revenue of $202.70 million.
• Neuronetics (NASDAQ:STIM) is estimated to report quarterly loss at $0.31 per share on revenue of $11.58 million.
• Louisiana-Pacific (NYSE:LPX) is estimated to report quarterly earnings at $2.70 per share on revenue of $937.19 million.
• Macquarie Infrastructure (NYSE:MIC) is estimated to report earnings for its first quarter.
• R1 RCM (NASDAQ:RCM) is estimated to report quarterly loss at $0.03 per share on revenue of $339.19 million.
• LGI Homes (NASDAQ:LGIH) is expected to report quarterly earnings at $2.50 per share on revenue of $598.55 million.
• Corsair Gaming (NASDAQ:CRSR) is likely to report quarterly earnings at $0.33 per share on revenue of $449.70 million.
• Brookfield Renewable (NYSE:BEPC) is estimated to report quarterly loss at $0.05 per share on revenue of $972.00 million.
• Atotech (NYSE:ATC) is estimated to report quarterly earnings at $0.09 per share on revenue of $331.05 million.
• Leidos Holdings (NYSE:LDOS) is likely to report quarterly earnings at $1.48 per share on revenue of $3.25 billion.
• Camping World Holdings (NYSE:CWH) is expected to report quarterly earnings at $0.65 per share on revenue of $1.30 billion.
• Charles River (NYSE:CRL) is expected to report quarterly earnings at $2.19 per share on revenue of $798.18 million.
• NuStar Energy (NYSE:NS) is estimated to report quarterly earnings at $0.23 per share on revenue of $375.22 million.
• Under Armour (NYSE:UA) is expected to report quarterly earnings at $0.04 per share on revenue of $1.12 billion.
• Broadridge Financial Soln (NYSE:BR) is expected to report quarterly earnings at $1.68 per share on revenue of $1.28 billion.
• Virtu Financial (NASDAQ:VIRT) is estimated to report quarterly earnings at $1.25 per share on revenue of $509.07 million.
• CommVault Systems (NASDAQ:CVLT) is projected to report quarterly earnings at $0.48 per share on revenue of $182.34 million.
• Chatham Lodging (NYSE:CLDT) is expected to report quarterly loss at $0.48 per share on revenue of $32.41 million.
• Sabre (NASDAQ:SABR) is estimated to report quarterly loss at $0.54 per share on revenue of $410.59 million.
• CONSOL Energy (NYSE:CEIX) is estimated to report quarterly earnings at $0.15 per share on revenue of $271.45 million.
• Zebra Technologies (NASDAQ:ZBRA) is likely to report quarterly earnings at $4.34 per share on revenue of $1.31 billion.
• Federal Signal (NYSE:FSS) is projected to report quarterly earnings at $0.33 per share on revenue of $279.07 million.
• Concert Pharmaceuticals (NASDAQ:CNCE) is estimated to report quarterly loss at $0.69 per share on revenue of $370.00 thousand.
• Ferrari (NYSE:RACE) is expected to report quarterly earnings at $1.29 per share on revenue of $1.24 billion.
• IDEXX Laboratories (NASDAQ:IDXX) is likely to report quarterly earnings at $1.71 per share on revenue of $737.38 million.
• WideOpenWest (NYSE:WOW) is likely to report quarterly earnings at $0.12 per share on revenue of $283.15 million.
• Westlake Chemical (NYSE:WLK) is likely to report quarterly earnings at $1.51 per share on revenue of $2.05 billion.
• Marathon Petroleum (NYSE:MPC) is likely to report quarterly loss at $0.71 per share on revenue of $18.91 billion.
• MPLX (NYSE:MPLX) is projected to report quarterly earnings at $0.63 per share on revenue of $2.13 billion.
• Sealed Air (NYSE:SEE) is projected to report quarterly earnings at $0.70 per share on revenue of $1.22 billion.
• Sysco (NYSE:SYY) is expected to report quarterly earnings at $0.20 per share on revenue of $12.39 billion.
• Brookfield Renewable (NYSE:BEP) is estimated to report earnings for its first quarter.
• Martin Marietta Materials (NYSE:MLM) is likely to report quarterly earnings at $0.51 per share on revenue of $911.41 million.
• LCI Indus (NYSE:LCII) is expected to report quarterly earnings at $2.23 per share on revenue of $898.40 million.
• Meritor (NYSE:MTOR) is estimated to report quarterly earnings at $0.61 per share on revenue of $937.42 million.
• Eaton Corp (NYSE:ETN) is likely to report quarterly earnings at $1.23 per share on revenue of $4.55 billion.
• AMETEK (NYSE:AME) is likely to report quarterly earnings at $1.01 per share on revenue ...Full story available on Benzinga.com",https://amp.benzinga.com/amp/content/20930648,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1854.png,"['Earnings', 'News', 'Pre-Market Outlook', 'Markets']"
