,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
0,ZT8Yi1G4FUuVwvXGzN6rivfO4b4lewKAfAqtrWSLVEE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","S&P, NASDAQ Each Gain Over 1% to Keep the Records Coming",Jim Giaquinto,2020-08-27T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26470,"['GFF', 'VIVO', 'LOVE', 'DT', 'APLE', 'CDE', 'SBH', 'AKAM', 'MCHP', 'PNR', 'AMAT', 'KLAC', 'HAL', 'SPWH', 'ATHM', 'FB', 'AMZN', 'AAPL', 'NFLX', 'GOOG', 'CRM', 'MRNA']","S&P, NASDAQ Each Gain Over 1% to Keep the Records Coming",,,
1,jMi8Zt8Ykx2K_khBhB49Rp5JIHvB8IaMLp4aExwY8ns,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Dow Surges More Than 800 Points on Encouraging Vaccine Data,Jim Giaquinto,2020-11-10T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27263,"['SNBR', 'ENR', 'QDEL', 'TPR', 'FDX', 'MAT', 'BIG', 'BG', 'BLDR', 'FLEX', 'KBR', 'PFGC', 'RLGY', 'USFD', 'HWM', 'HAL', 'PFE', 'CCL', 'RCL', 'ZM', 'NFLX']",Dow Surges More Than 800 Points on Encouraging Vaccine Data,,,
2,-S6t-wnlv1DZpmgi2E3bxzCEdHVm-5p3TmpFodgdA1I,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",S&P Snaps 3-Day Slide Despite Late Selloff,Jim Giaquinto,2020-12-24T14:15:00Z,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27770,"['HWM', 'GOOGL', 'MTZ', 'LOW', 'AMAT', 'MA', 'HAL', 'KLAC', 'ACA', 'AUDC']",S&P Snaps 3-Day Slide Despite Late Selloff,,,
3,2p9xtoyvocYWsifp91xJijUQs3FgawRdA_eL6PWJjzY,"{'name': 'Invezz', 'homepage_url': 'https://invezz.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/invezz.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/invezz.png'}",Halliburton swings to profit in fiscal Q1 despite COVID-19 disruptions,Wajeeh Khan,2021-04-21T16:23:05Z,https://invezz.com/news/2021/04/21/halliburton-swings-to-profit-in-fiscal-q1-despite-covid-19-disruptions/,['HAL'],"Halliburton Co. (NYSE: HAL) said on Wednesday that it swung to profit in the fiscal first quarter. Its financial performance, the company added, was better than expected in Q1, despite the ongoing pandemic. Halliburton shares tanked more than 6% in premarket trading on Wednesday but recovered more than 2% on market open. Including the price […]
The post Halliburton swings to profit in fiscal Q1 despite COVID-19 disruptions appeared first on Invezz.",https://invezz.com/news/2021/04/21/halliburton-swings-to-profit-in-fiscal-q1-despite-covid-19-disruptions/?amp,https://invezz.com/wp-content/uploads/2021/01/rtr30fpe-1024x681.jpg,"['Energy & Power', 'Industries', 'North America', 'Services', 'Stocks & Shares', 'USA', 'World']"
4,shYr9P2BcPiBp2dyRIs2XYBeDO1If6zc72MPQ65N2BY,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}",Halliburton (HAL) Q1 2021 Earnings Call Transcript,newsfeedback@fool.com (Motley Fool Transcribing),2021-04-21T18:01:05Z,https://www.fool.com/earnings/call-transcripts/2021/04/21/halliburton-hal-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,['HAL'],"HAL earnings call for the period ending March 31, 2021.",https://www.fool.com/amp/earnings/call-transcripts/2021/04/21/halliburton-hal-q1-2021-earnings-call-transcript/,https://g.foolcdn.com/editorial/images/1/featured-transcript-logo-template.jpg,['earningscall-transcripts']
5,Mtc49LcSOCvBze7xrFG7RBEwQqvFUKzrIgSKdneQoGg,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Should You Invest in the iShares U.S. Oil Equipment & Services ETF (IEZ)?,Zacks Equity Research,2021-04-23T10:20:02Z,http://www.zacks.com/stock/news/1440672/should-you-invest-in-the-ishares-us-oil-equipment-services-etf-iez?cid=CS-ZC-FT-sector_etf-1440672,"['IEZ', 'SLB', 'HAL', 'XES', 'OIH', 'CHX']",Sector ETF report for IEZ,https://www.zacks.com/amp/stock/news/1440672/should-you-invest-in-the-ishares-us-oil-equipment-services-etf-iez,https://staticx-tuner.zacks.com/images/default_article_images/default44.jpg,
6,xwGujeJp5mFhgxt0aq3JefpSnEXQn-bFchX8L8Mo6V8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Oil & Gas Stock Roundup: Q1 Earnings From SLB, HAL, BKR, KMI & VLO",Nilanjan Choudhury,2021-04-28T12:02:00Z,http://www.zacks.com/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo?cid=CS-ZC-FT-analyst_blog|stock_roundup-1466827,"['RIG', 'VLO', 'SLB', 'HAL', 'KMI', 'BKR']","Energy companies Schlumberger (SLB), Halliburton (HAL), Baker Hughes (BKR), Kinder Morgan (KMI) and Valero Energy (VLO) reported March-quarter earnings, wherein each outperformed the Zacks Consensus Estimate.",https://www.zacks.com/amp/stock/news/1466827/oil-gas-stock-roundup-q1-earnings-from-slb-hal-bkr-kmi-vlo,https://staticx-tuner.zacks.com/images/articles/main/7a/2381.jpg,
7,ePlW8BtGZVPkAKtq8bpPZJFpDJjGUObrD3k3vIDe8hY,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/seekingalpha.ico'}","My 38 Stock $348K Retirement Portfolio With Coinbase, Sundial, Apple, And Finance Of America News",Trent Welsh,2021-05-03T05:04:51Z,https://seekingalpha.com/article/4423666-38-stock-348k-retirement-portfolio-coinbase-sundial-apple-and-finance-of-america-news?source=feed,"['AAPL', 'ABNB', 'AMD', 'AMGN', 'AMT', 'ARWR', 'AXON', 'BABA', 'BIDU', 'CLF', 'COIN', 'DASH', 'DELL', 'DIS', 'DUK', 'DUKB', 'DUKH', 'FB', 'FOA', 'GIS', 'GOLD', 'GOOG', 'GOOGL', 'HAL', 'HSBC', 'J', 'JNJ', 'JPM', 'KO', 'LLY', 'MDT', 'MDXG', 'MELI', 'MT', 'NEE', 'NFLX', 'PBR', 'PBR.A', 'PEP', 'PFE', 'PG', 'QCOM', 'RBLX', 'RDS.A', 'RDS.B', 'SMMT', 'SNDL', 'SPCE', 'SPY', 'TME', 'TSCO', 'TSLA', 'VMW', 'WWE', 'XLNX']",A portfolio built for individual investors to outperform the majority of money managers through diversity and risk with the goal to be worth millions in retirement.,https://seekingalpha.com/amp/article/4423666-38-stock-348k-retirement-portfolio-coinbase-sundial-apple-and-finance-of-america-news,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1312444407/medium_image_1312444407.jpg,
8,7k0gfYsbrBBnNFz4qq8y82mJCqZ7kNjzh474DnIMLgs,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/themotleyfool.ico'}","Berkshire, Energy Stocks Send Stock Markets Toward Record Heights",newsfeedback@fool.com (Dan Caplinger),2021-05-03T16:15:28Z,https://www.fool.com/investing/2021/05/03/berkshire-energy-stocks-send-stock-markets-toward/?source=iedfolrf0000001,"['BRK.B', 'BRK.A', 'HAL', 'BKR']",Can the bull market keep charging forward? These stocks say yes.,https://www.fool.com/amp/investing/2021/05/03/berkshire-energy-stocks-send-stock-markets-toward/,https://g.foolcdn.com/editorial/images/624487/oil-rig-gettyimages-177118609.jpg,['investing']
9,8CT5VoptBi-WEuzWXJ4Uu0XBvwjVZ5bjH-q47BuZbzM,"{'name': 'Investing.com', 'homepage_url': 'https://www.investing.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/investing.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/investing.ico'}",8 Bearish Energy Stocks That Could Still Head Lower,Tim Knight,2021-05-05T04:23:00Z,https://www.investing.com/analysis/8-bearish-energy-stocks-that-could-still-head-lower-200577551,"['APA', 'CNP', 'CPE', 'EOG', 'HAL', 'MRO', 'PTEN', 'XEC']",,https://m.investing.com/analysis/8-bearish-energy-stocks-that-could-still-head-lower-200577551?ampMode=1,https://i-invdn-com.akamaized.net/redesign/images/seo/investingcom_analysis_og.jpg,
10,irrp5CVMfUO2E157FEdtGnlcQMr9ilwomXMdBtfeQRk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Rig Tally Rises After Falling for 2 Weeks Straight,Zacks Equity Research,2021-05-12T18:17:00Z,http://www.zacks.com/stock/news/1541961/permian-oil-rig-tally-rises-after-falling-for-2-weeks-straight?cid=CS-ZC-FT-analyst_blog|industry_focus-1541961,"['RIG', 'SLB', 'HAL', 'DVN', 'BKR', 'MTDR']",Baker Hughes' (BKR) data show that the count of oil and gas rigs in the United States has increased for two consecutive weeks.,https://www.zacks.com/amp/stock/news/1541961/permian-oil-rig-tally-rises-after-falling-for-2-weeks-straight,https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,
11,XYQAdpomChpPHfLnNYXc6LCebzjUijuKZ4PNNRHnwYY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: Halliburton Company, Schlumberger, Transocean, Devon Energy and Matador Resources",Zacks Equity Research,2021-05-13T12:46:00Z,http://www.zacks.com/stock/news/1545536/the-zacks-analyst-blog-highlights-halliburton-company-schlumberger-transocean-devon-energy-and-matador-resources?cid=CS-ZC-FT-press_releases-1545536,"['RIG', 'SLB', 'HAL', 'DVN', 'MTDR']","The Zacks Analyst Blog Highlights: Halliburton Company, Schlumberger, Transocean, Devon Energy and Matador Resources",https://www.zacks.com/amp/stock/news/1545536/the-zacks-analyst-blog-highlights-halliburton-company-schlumberger-transocean-devon-energy-and-matador-resources,https://staticx-tuner.zacks.com/images/articles/main/07/420.jpg,
12,MJbpDKotFr2HSpy34y-3ks5fNLi723CG9K_E4tuhdmk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Permian Oil Drilling Rig Tally Rises for 2 Consecutive Weeks,Zacks Equity Research,2021-05-18T12:10:00Z,http://www.zacks.com/stock/news/1570565/permian-oil-drilling-rig-tally-rises-for-2-consecutive-weeks?cid=CS-ZC-FT-analyst_blog|industry_focus-1570565,"['RIG', 'SLB', 'HAL', 'BKR', 'WLL']",Baker Hughes' (BKR) data shows that the count of oil and gas rigs in the United States has increased for three consecutive weeks.,https://www.zacks.com/amp/stock/news/1570565/permian-oil-drilling-rig-tally-rises-for-2-consecutive-weeks,https://staticx-tuner.zacks.com/images/articles/main/52/300.jpg,
13,ITYCct8RXocKgZklf5IokN6cNFGz_FiOMUP694gTTjQ,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Energy Stocks Follow Oil Lower on Crude Inventory Build,Nilanjan Choudhury,2021-05-20T11:36:00Z,http://www.zacks.com/stock/news/1581187/energy-stocks-follow-oil-lower-on-crude-inventory-build?cid=CS-ZC-FT-analyst_blog|industry_focus-1581187,"['APA', 'NOV', 'CVX', 'SLB', 'HAL', 'PXD', 'DVN']","Some of the top losers of the S&P 500 yesterday are energy-related names NOV Inc. (NOV), APA Corporation (APA), Devon Energy (DVN), Pioneer Natural Resources (PXD), Schlumberger (SLB) and Halliburton (HAL).",https://www.zacks.com/amp/stock/news/1581187/energy-stocks-follow-oil-lower-on-crude-inventory-build,https://staticx-tuner.zacks.com/images/articles/main/dd/299.jpg,
14,Ui4tZNf4cKR6mux65MGyqSvoADIHhkQzyKquDjo8JDk,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","Halliburton (HAL), TGS Team Up for Reservoir Monitoring Tech",Zacks Equity Research,2021-05-20T13:53:00Z,http://www.zacks.com/stock/news/1581802/halliburton-hal-tgs-team-up-for-reservoir-monitoring-tech?cid=CS-ZC-FT-analyst_blog|company_news_-_energy_sector-1581802,"['TOT', 'HAL', 'XOG', 'HESM']","Halliburton (HAL) collaborates with TGS to enable enhanced reservoir understanding for its customers, with a lower total cost of ownership compared with conventional 4D seismic.",https://www.zacks.com/amp/stock/news/1581802/halliburton-hal-tgs-team-up-for-reservoir-monitoring-tech,https://staticx-tuner.zacks.com/images/articles/main/df/2916.jpg,
15,Hn_Jy8pi6EW_vxOIj8pwRq2WdIGQ6xIJWCxS0mQ5wZY,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights: Devon Energy, Pioneer Natural Resources, Schlumberger, Halliburton and Chevron",Zacks Equity Research,2021-05-21T12:49:00Z,http://www.zacks.com/stock/news/1583468/the-zacks-analyst-blog-highlights-devon-energy-pioneer-natural-resources-schlumberger-halliburton-and-chevron?cid=CS-ZC-FT-press_releases-1583468,"['CVX', 'SLB', 'HAL', 'PXD', 'DVN']","The Zacks Analyst Blog Highlights: Devon Energy, Pioneer Natural Resources, Schlumberger, Halliburton and Chevron",https://www.zacks.com/amp/stock/news/1583468/the-zacks-analyst-blog-highlights-devon-energy-pioneer-natural-resources-schlumberger-halliburton-and-chevron,https://staticx-tuner.zacks.com/images/articles/main/8a/62.jpg,
16,EEsE9wsGekR_02B1u86UJV4bwZn56RNVG5K0GsfGFh8,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/logos/zacks.png', 'favicon_url': 'https://storage.googleapis.com/polygon-io-public/assets/news/favicons/zacks.ico'}",Halliburton (HAL) Up 16.4% Since Last Earnings Report: Can It Continue?,Zacks Equity Research,2021-05-21T15:30:39Z,http://www.zacks.com/stock/news/1584189/halliburton-hal-up-164-since-last-earnings-report-can-it-continue?cid=CS-ZC-FT-realtime_blog-1584189,['HAL'],Halliburton (HAL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,https://www.zacks.com/amp/stock/news/1584189/halliburton-hal-up-164-since-last-earnings-report-can-it-continue,https://staticx-tuner.zacks.com/images/default_article_images/default41.jpg,
